"genotype"	"light_condition"	"biomas"	"starch"	"sucrose"	"chlorophyll"
"WT"	"SD"	0.0912326518695804	4.11764659710013	1.42227542921167	1.85089216768736
"WT"	"SD"	0.150398216111252	3.0525253858152	0.925752026539607	1.36890125529877
"WT"	"SD"	0.0391058645855418	3.50944255629933	0.72061646099647	0.713927920427256
"WT"	"SD"	0.117221901723773	3.74390780780175	0.488751583830188	0.742666173109124
"WT"	"SD"	0.145970360197173	5.84386200523221	-0.326623610770258	0.699231913212703
"WT"	"SD"	0.135057668108336	3.34805009830454	1.26566860670709	1.23454673891485
"WT"	"SD"	0.125283809707447	4.23538657228486	-0.030320035462411	0.76912220750205
"WT"	"SD"	0.0879646995847312	4.07796084956371	1.06997375543867	1.84395838648791
"WT"	"SD"	0.0775147826983209	3.03814336586987	1.65455178460874	NA
"WT"	"SD"	0.0687935604697543	3.9286919138764	-0.0219465804858997	0.856484761982411
"WT"	"LD"	0.18158134396738	4.78461949235831	0.681002159808643	NA
"WT"	"LD"	0.118524689800018	5.06529303352532	1.37895555282685	1.90259422655275
"WT"	"LD"	0.112195342657257	4.96593274626154	0.895104883613934	2.02837505845207
"WT"	"LD"	0.247231198048272	7.12845189901618	0.740346141203988	1.73139099260674
"WT"	"LD"	0.137494272355187	4.25866390372717	0.929116129317671	1.60675954000161
"WT"	"LD"	0.158946827746221	3.90400373292534	0.940847231695434	NA
"WT"	"LD"	0.169097090221015	5.03778839917108	1.33297608691409	2.18021264710173
"WT"	"LD"	0.135486581228738	5.31048074944314	1.02542118765916	1.62461859151252
"WT"	"LD"	0.165505861329408	5.43652347891018	1.22621613555536	1.81665022499587
"WT"	"LD"	0.161068935821553	4.54163466728889	0.850212394848322	1.64435597462081
"PhyA-211"	"SD"	0.186722453923184	2.86435258802631	1.42646422147681	1.30529302107949
"PhyA-211"	"SD"	0.160794414811721	4.56405017068341	0.704928517007729	1.7920827219804
"PhyA-211"	"SD"	0.162023143517822	2.94799110338552	1.89512566104502	0.734603648431736
"PhyA-211"	"SD"	0.153320481478354	3.54221754141772	1.87813348753304	4.16895596533851
"PhyA-211"	"SD"	0.133324765957378	3.74992146430149	1.82158108163749	3.20796199830499
"PhyA-211"	"SD"	0.203607394104092	1.62661337851517	1.68864025410009	0.876891416796651
"PhyA-211"	"SD"	0.164935514346877	6.67557408898905	1.55391765353759	1.59711516470092
"PhyA-211"	"SD"	0.0910014853011109	5.30674623567303	0.938088289423278	1.53334464637678
"PhyA-211"	"SD"	0.171040677046911	2.7237261259761	0.694037336260083	2.77996511833632
"PhyA-211"	"SD"	0.135816257768162	7.50762984213985	0.619528998987617	NA
"PhyA-211"	"LD"	0.268981974137994	6.50896883394346	2.00288209294994	3.49675192798106
"PhyA-211"	"LD"	0.224883827344535	4.69083112435919	2.19264020056317	3.27419847975403
"PhyA-211"	"LD"	0.233339630816529	8.00573852446226	1.8146699841038	3.11936586755572
"PhyA-211"	"LD"	0.199071230844646	6.29079923741761	2.32218827425942	2.68604696198031
"PhyA-211"	"LD"	0.196410438676221	6.31199138353264	1.88975671909062	3.680326224265
"PhyA-211"	"LD"	0.265176432070213	8.0255713696967	2.16589098195785	2.69987020642644
"PhyA-211"	"LD"	0.272410488931471	6.71522699294899	2.54841950657467	4.09366649650829
"PhyA-211"	"LD"	0.252650211336525	5.77928228774546	2.2175907454169	3.76630531309259
"PhyA-211"	"LD"	0.296113373393987	7.18130347974915	1.83703420723439	2.88214982044976
"PhyA-211"	"LD"	0.352504234281357	6.86110863756096	2.57440380922555	2.48678954984661
"elf4-101"	"SD"	0.0835773570928275	2.71301326035101	1.37764698274623	0.705689014572999
"elf4-101"	"SD"	0.0873106228879728	3.30899290858326	0.354840203017074	0.84890064082857
"elf4-101"	"SD"	0.11697427635456	3.55492406946486	0.507269413314608	NA
"elf4-101"	"SD"	0.0645180850716566	3.35379417691779	0.0307361476302133	0.531348189667128
"elf4-101"	"SD"	0.0502247854882389	2.81817135145237	0.112805655118365	1.0104742028099
"elf4-101"	"SD"	0.130270907972096	3.0298749686923	-0.258508066152621	2.05118091083946
"elf4-101"	"SD"	0.0667651034928414	2.64770176815997	0.308537305813636	1.0495125573356
"elf4-101"	"SD"	0.0583080209018038	2.64139091921299	0.609491202462232	0.420079648089303
"elf4-101"	"SD"	0.0429118064335012	3.44232524948846	0.56215217208069	0.767615282362969
"elf4-101"	"SD"	0.0414585283304661	2.49220371069823	0.00923175647262431	1.34272998945244
"elf4-101"	"LD"	0.093944134122374	4.42250650203372	0.299757470724301	NA
"elf4-101"	"LD"	0.0955064773430763	4.48126398424214	1.02094878943203	1.81625430701308
"elf4-101"	"LD"	0.122357721638076	4.34215471470823	0.915807970504903	1.84357893311411
"elf4-101"	"LD"	0.185009933883341	3.30236282510027	0.720304512416533	1.32675959968213
"elf4-101"	"LD"	0.234653948691555	4.42482152281668	0.835443353314004	2.10074481908785
"elf4-101"	"LD"	0.197379052949188	3.77672139178639	0.840211593610539	1.52001026127905
"elf4-101"	"LD"	0.113342451783553	4.08740135008063	0.866305840568301	2.06005555341206
"elf4-101"	"LD"	0.0321736302221181	4.03727558858687	1.29225384979325	1.09472919419079
"elf4-101"	"LD"	0.100561006796413	4.21408338248525	0.734284886319957	1.50629507590627
"elf4-101"	"LD"	0.124460361153665	4.01233749141307	0.850419615165397	NA
