"genotype"	"light_condition"	"biomas"	"starch"	"sucrose"	"chlorophyll"
"WT"	"SD"	0.133165516647484	3.34716773071441	0.283971900025876	0.780009902601526
"WT"	"SD"	0.103996423143859	4.15691864227402	1.25918114904454	0.0222402286401553
"WT"	"SD"	0.159711854977392	3.95977283745029	0.383282287698582	1.72320447221383
"WT"	"SD"	0.147256539026253	4.5241100728608	0.352268422170067	1.08909660563357
"WT"	"SD"	0.11876668031366	4.11798626642073	0.652028411258133	1.3529671933219
"WT"	"SD"	0.115641704158572	4.08958701422042	1.12106982870437	NA
"WT"	"SD"	0.127098561815702	3.61705935173393	0.439073838678787	1.11385932102697
"WT"	"SD"	0.156265262420392	3.02856603883668	0.503110632594627	1.27877343253467
"WT"	"SD"	0.0387407919813004	2.9946993912028	1.5270764702319	1.50519965548453
"WT"	"SD"	0.112926189084277	4.28831322030648	0.500791794266913	1.54915373323646
"WT"	"LD"	0.120796897381069	6.30676783246126	0.921703910072431	1.80629643481559
"WT"	"LD"	0.138588264313287	5.63797459339973	0.887702506530316	2.58693201575102
"WT"	"LD"	0.159370090353211	4.51167105248971	1.01783933394115	1.54624559331665
"WT"	"LD"	0.1905614657844	4.66276379172908	0.930848498342198	1.79878425500154
"WT"	"LD"	0.143035683733939	6.36219186807542	1.29792759784005	1.94613062566255
"WT"	"LD"	0.16320753910736	4.75581939727587	0.672892762422841	2.06181383412493
"WT"	"LD"	0.148838875513531	4.35223443109917	0.371218383424353	2.23725333201071
"WT"	"LD"	0.189568379150378	3.90408259697709	0.904881410017511	2.52068943073074
"WT"	"LD"	0.126027546135599	5.70555437037813	0.734244995118965	2.43556673301655
"WT"	"LD"	0.13194994239175	4.33750854818149	1.59563529370465	1.54288630394357
"PhyA-211"	"SD"	0.13466718679156	3.75313046914415	1.89509482014975	1.70982273499175
"PhyA-211"	"SD"	0.200761115485137	1.72158025497754	1.7313939152069	1.71825435560132
"PhyA-211"	"SD"	0.194267876864694	7.7361086323838	-0.274896084369499	2.5660996600314
"PhyA-211"	"SD"	0.0860832977480114	4.53868520365787	-1.01908235953939	3.14561003489319
"PhyA-211"	"SD"	0.174778897739975	10.7879988608896	0.940617788531112	0.502834296985908
"PhyA-211"	"SD"	0.166238853857992	2.57845082518324	1.06466215658796	NA
"PhyA-211"	"SD"	0.0914443710016717	3.45044693248661	0.298538770661347	1.12238614155221
"PhyA-211"	"SD"	0.0544662059981469	6.42550802867366	2.44035487915709	1.46144361898926
"PhyA-211"	"SD"	0.166112324645777	3.86029387213589	0.617658384471904	2.47086874475707
"PhyA-211"	"SD"	0.157577481077197	8.01436486119427	1.3779094188164	2.70515010969601
"PhyA-211"	"LD"	0.200086658476583	6.21253457470265	2.00095321000895	3.57038646495351
"PhyA-211"	"LD"	0.27517603940937	6.9137279462813	2.15667389836529	2.93651373718593
"PhyA-211"	"LD"	0.272791705412778	5.83322183095455	1.65441340658559	3.03115159229537
"PhyA-211"	"LD"	0.187805912681704	7.62500150531294	2.48845925663521	1.84229636348585
"PhyA-211"	"LD"	0.281036855484227	5.47542683191702	2.19580916197172	3.22481984781856
"PhyA-211"	"LD"	0.30035026010483	5.52250362922665	1.5330264760336	NA
"PhyA-211"	"LD"	0.353848550843018	5.25071040816066	3.09004740682678	NA
"PhyA-211"	"LD"	0.249313424080801	7.5896573861741	1.88650883709049	3.25096945873611
"PhyA-211"	"LD"	0.0693132149567404	6.86311618647855	1.46189284349563	2.56802551289442
"PhyA-211"	"LD"	0.246966955512421	8.13107858133441	1.40132989704417	2.77687958085654
"elf4-101"	"SD"	0.117625489621385	2.92439098793265	0.57331992285072	1.10665990357385
"elf4-101"	"SD"	0.0577458417290828	2.99264994562974	-0.498695453256601	1.06247627174937
"elf4-101"	"SD"	0.12482396739974	2.86020303909358	1.57065993026181	NA
"elf4-101"	"SD"	0.0812733408029306	3.23780972231412	0.540829474143462	0.523250629071506
"elf4-101"	"SD"	0.105314626500263	3.06543329816308	0.596146124688298	0.334674992038625
"elf4-101"	"SD"	0.107686571966269	2.92905276341815	0.241867142368628	0.361909780898655
"elf4-101"	"SD"	0.0859572224682447	3.32311857032409	0.597394020917989	NA
"elf4-101"	"SD"	0.0966315837191864	2.62721241848289	-0.180741888609177	0.882851058592799
"elf4-101"	"SD"	0.0357351823872316	3.20569240998274	0.578135126740415	NA
"elf4-101"	"SD"	0.0843018081741225	3.32073140921085	0.636489982309706	1.54077910627542
"elf4-101"	"LD"	0.10585422100754	4.43829805331728	0.769575693511463	1.18878468714508
"elf4-101"	"LD"	0.0459141677436202	3.965693664131	1.09783125633383	1.19797142686464
"elf4-101"	"LD"	0.101152407931114	4.33507690825838	0.618939282797429	1.39791307644689
"elf4-101"	"LD"	0.159810830608933	4.25473505198191	0.747835759454443	1.43523702901704
"elf4-101"	"LD"	0.182623529020258	4.11167414588424	1.04859484270806	1.70961048049719
"elf4-101"	"LD"	0.171638627835425	4.1934480782409	0.538928692566045	1.94475278917547
"elf4-101"	"LD"	0.134378035672278	3.35778379135563	0.463867408628314	1.43274220165028
"elf4-101"	"LD"	0.12556891642301	3.98512826781876	0.807392835945169	1.78426233479668
"elf4-101"	"LD"	0.161714403245384	4.69354041695212	0.5859192960758	1.26470947819945
"elf4-101"	"LD"	0.0589635016780253	3.78688218560181	0.945206918229136	1.35235680408107
